data_entry,xx,yy,month,day,ffmc,dmc,dc,isi,temp,rh,wind,rain,area
101,3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0
102,3,4,aug,tue,88.8,147.3,614.5,9,14.4,66,5.4,0,0
103,2,4,aug,tue,94.8,108.3,647.1,17,20.1,40,4,0,0
104,2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0,0
105,2,4,jan,sat,82.1,3.7,9.3,2.9,5.3,78,3.1,0,0
106,4,5,mar,fri,85.9,19.5,57.3,2.8,12.7,52,6.3,0,0
107,4,5,mar,thu,91.4,30.7,74.3,7.5,18.2,29,3.1,0,0
108,4,5,aug,sun,90.2,99.6,631.2,6.3,21.4,33,3.1,0,0
109,4,5,sep,sat,92.5,88,698.6,7.1,20.3,45,3.1,0,0
110,4,5,sep,mon,88.6,91.8,709.9,7.1,17.4,56,5.4,0,0
111,4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0,0
112,3,4,mar,fri,91.7,33.3,77.5,9,18.8,18,4.5,0,0
113,3,4,sep,sun,89.7,90,704.4,4.8,22.8,39,3.6,0,0
114,3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0,0
115,3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0,0
116,3,5,mar,tue,88.1,25.7,67.6,3.8,15.5,27,6.3,0,0
117,3,4,mar,sat,91.7,35.8,80.8,7.8,11.6,30,6.3,0,0
118,3,4,mar,sat,91.7,35.8,80.8,7.8,15.2,27,4.9,0,0
119,3,4,mar,mon,90.1,39.7,86.6,6.2,10.6,30,4,0,0
120,3,4,aug,thu,93,75.3,466.6,7.7,19.6,36,3.1,0,0
121,3,4,aug,mon,91.5,145.4,608.2,10.7,10.3,74,2.2,0,0
122,3,4,aug,mon,91.5,145.4,608.2,10.7,17.1,43,5.4,0,0
123,3,4,sep,sun,92.4,124.1,680.7,8.5,22.5,42,5.4,0,0
124,3,4,sep,tue,84.4,73.4,671.9,3.2,17.9,45,3.1,0,0
125,3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0,0
126,3,4,oct,sun,92.6,46.5,691.8,8.8,20.6,24,5.4,0,0
127,3,5,mar,mon,87.6,52.2,103.8,5,9,49,2.2,0,0
128,3,5,sep,fri,93.5,149.3,728.6,8.1,17.2,43,3.1,0,0
129,3,5,oct,wed,91.4,37.9,673.8,5.2,15.9,46,3.6,0,0
130,2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0,0
131,4,6,feb,sat,68.2,21.5,87.2,0.8,15.4,40,2.7,0,0
132,4,6,mar,mon,87.2,23.9,64.7,4.1,14,39,3.1,0,0
133,4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0,0
134,4,6,sep,thu,93.7,80.9,685.2,17.9,17.6,42,3.1,0,0
135,3,5,mar,tue,88.1,25.7,67.6,3.8,14.9,38,2.7,0,0
136,3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0,0
137,3,6,sep,sun,92.4,124.1,680.7,8.5,17.2,58,1.3,0,0
138,3,6,sep,mon,90.9,126.5,686.5,7,15.6,66,3.1,0,0
139,9,9,jul,tue,85.8,48.3,313.4,3.9,18,42,2.7,0,0.36
140,1,4,sep,tue,91,129.5,692.6,7,21.7,38,2.2,0,0.43
141,2,5,sep,mon,90.9,126.5,686.5,7,21.9,39,1.8,0,0.47
142,1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0,0.55
143,8,6,aug,fri,90.1,108,529.8,12.5,21.2,51,8.9,0,0.61
144,1,2,jul,sat,90,51.3,296.3,8.7,16.6,53,5.4,0,0.71
145,2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0,0.77
146,6,5,aug,thu,95.2,131.7,578.8,10.4,27.4,22,4,0,0.9
147,5,4,mar,mon,90.1,39.7,86.6,6.2,13.2,40,5.4,0,0.95
148,8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96
149,2,2,aug,tue,94.8,108.3,647.1,17,17.4,43,6.7,0,1.07
150,8,6,sep,thu,93.7,80.9,685.2,17.9,23.7,25,4.5,0,1.12
151,6,5,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0,1.19
152,9,9,jul,sun,90.1,68.6,355.2,7.2,24.8,29,2.2,0,1.36
153,3,4,jul,sat,90.1,51.2,424.1,6.2,24.6,43,1.8,0,1.43
154,5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1.46
155,1,5,sep,sat,93.4,145.4,721.4,8.1,29.6,27,2.7,0,1.46
156,7,4,aug,sun,94.8,108.3,647.1,17,16.4,47,1.3,0,1.56
157,2,4,sep,sat,93.4,145.4,721.4,8.1,28.6,27,2.2,0,1.61
158,2,2,aug,wed,92.1,111.2,654.1,9.6,18.4,45,3.6,0,1.63
159,2,4,aug,wed,92.1,111.2,654.1,9.6,20.5,35,4,0,1.64
160,7,4,sep,fri,92.4,117.9,668,12.2,19,34,5.8,0,1.69
161,7,4,mar,mon,90.1,39.7,86.6,6.2,16.1,29,3.1,0,1.75
162,6,4,aug,thu,95.2,131.7,578.8,10.4,20.3,41,4,0,1.9
163,6,3,mar,sat,90.6,50.1,100.4,7.8,15.2,31,8.5,0,1.94
164,8,6,sep,sat,92.5,121.1,674.4,8.6,17.8,56,1.8,0,1.95
165,8,5,sep,sun,89.7,90,704.4,4.8,17.8,67,2.2,0,2.01
166,6,5,mar,thu,84.9,18.2,55,3,5.3,70,4.5,0,2.14
167,6,5,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0,2.29
168,6,5,aug,wed,96,127.1,570.5,16.5,23.4,33,4.5,0,2.51
169,6,5,mar,fri,91.2,48.3,97.8,12.5,14.6,26,9.4,0,2.53
170,8,6,aug,thu,95.2,131.7,578.8,10.4,20.7,45,2.2,0,2.55
171,5,4,sep,wed,92.9,133.3,699.6,9.2,21.9,35,1.8,0,2.57
172,8,6,aug,wed,85.6,90.4,609.6,6.6,17.4,50,4,0,2.69
173,7,4,aug,sun,91.4,142.4,601.4,10.6,20.1,39,5.4,0,2.74
174,4,4,sep,mon,90.9,126.5,686.5,7,17.7,39,2.2,0,3.07
175,1,4,aug,sat,90.2,96.9,624.2,8.9,14.2,53,1.8,0,3.5
176,1,4,aug,sat,90.2,96.9,624.2,8.9,20.3,39,4.9,0,4.53
177,6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0,4.61
178,2,5,aug,sun,90.2,99.6,631.2,6.3,19.2,44,2.7,0,4.69
179,2,5,sep,wed,90.1,82.9,735.7,6.2,18.3,45,2.2,0,4.88
180,8,6,aug,tue,88.8,147.3,614.5,9,14.4,66,5.4,0,5.23
181,1,3,sep,sun,92.4,124.1,680.7,8.5,23.9,32,6.7,0,5.33
182,8,6,oct,mon,84.9,32.8,664.2,3,19.1,32,4,0,5.44
183,5,4,feb,sun,86.8,15.6,48.3,3.9,12.4,53,2.2,0,6.38
184,7,4,oct,mon,91.7,48.5,696.1,11.1,16.8,45,4.5,0,6.83
185,8,6,aug,fri,93.9,135.7,586.7,15.1,20.8,34,4.9,0,6.96
186,2,5,sep,tue,91,129.5,692.6,7,17.6,46,3.1,0,7.04
187,8,6,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0,7.19
188,1,5,sep,mon,90.9,126.5,686.5,7,21,42,2.2,0,7.3
189,6,4,mar,sat,90.8,41.9,89.4,7.9,13.3,42,0.9,0,7.4
190,7,4,mar,sun,90.7,44,92.4,5.5,11.5,60,4,0,8.24
191,6,5,mar,fri,91.2,48.3,97.8,12.5,11.7,33,4,0,8.31
192,2,5,aug,thu,95.2,131.7,578.8,10.4,24.2,28,2.7,0,8.68
193,2,2,aug,tue,94.8,108.3,647.1,17,24.6,22,4.5,0,8.71
194,4,5,sep,wed,92.9,133.3,699.6,9.2,24.3,25,4,0,9.41
195,2,2,aug,tue,94.8,108.3,647.1,17,24.6,22,4.5,0,10.01
196,2,5,aug,fri,93.9,135.7,586.7,15.1,23.5,36,5.4,0,10.02
197,6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0,10.93
198,4,5,sep,thu,92.9,137,706.4,9.2,21.5,15,0.9,0,11.06
199,3,4,sep,tue,91,129.5,692.6,7,13.9,59,6.3,0,11.24
200,2,4,sep,mon,63.5,70.8,665.3,0.8,22.6,38,3.6,0,11.32